smiles,valid,novel,pred_logD_A,pred_logD_B,pred_sep,uncertainty,round,ucb,lcb,scaffold
CCCCCCCCCCN(CCCCCCCCCC)C(=S)c1ccc2ccccc2n1,True,True,0.724,-0.053,0.777,0.109,2,0.886,0.668,c1ccc2ncccc2c1
CCCCCCCCP(=S)(S)c1ccc(-c2ccccn2)cc1,True,True,0.646,-0.128,0.774,0.262,1,1.036,0.512,c1ccc(-c2ccccn2)cc1
CCCCCCCCCCN(CCCCCCCCCC)C(=S)c1cccc(C)n1,True,True,0.754,-0.002,0.756,0.139,3,0.895,0.617,c1ccncc1
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n1,True,True,0.609,-0.147,0.755,0.111,2,0.866,0.644,c1ccncc1
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nn1,True,True,0.644,-0.103,0.748,0.152,3,0.9,0.596,c1ccnnc1
CCCCC(CC)CN(CC(CC)CCCC)C(=S)c1cnccn1,True,True,0.767,0.019,0.747,0.13,2,0.877,0.617,c1cnccn1
CCCCCCCCC1CCCCC1P(=S)(S)c1ccc(C(C)(C)C)cc1,True,True,1.06,0.317,0.742,0.153,1,0.895,0.589,S=[PH](c1ccccc1)C1CCCCC1
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(C2CC2)n1,True,True,0.776,0.037,0.739,0.126,4,0.865,0.613,c1ccc(C2CC2)nc1
CCC(C)CCCCN(CCCCC(CC)CC)C(=S)c1cnc(C(=S)N(CCCCC(CC)CC)CCCCC(CC)CC)cn1,True,True,0.454,-0.279,0.733,0.129,2,0.862,0.604,c1cnccn1
CCCCCCCCOc1ccc(P(=S)(S)c2ccc(OCCCCCCCC)cc2)cc1,True,True,0.799,0.069,0.73,0.168,1,0.898,0.5619999999999999,S=[PH](c1ccccc1)c1ccccc1
CCCCOP(=S)(S)C1CCCCC1,True,True,1.126,0.401,0.726,0.224,2,0.95,0.502,C1CCCCC1
CCCCCCCCc1nnc(-c2cccc(-c3nnc(CCCCCCCC)c4ccccc34)n2)c2ccccc12,True,True,0.595,-0.124,0.719,0.193,1,0.9119999999999999,0.526,c1cc(-c2nncc3ccccc23)nc(-c2nncc3ccccc23)c1
CCCCCCCCCCN(CCCCCCCCCC)C(=S)c1cccc(-c2ccccc2)n1,True,True,0.676,-0.039,0.716,0.136,3,0.852,0.58,c1ccc(-c2ccccn2)cc1
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)c1cccc(C(=O)N(CCCCCCCC)CCCCCCCC)n1,True,True,0.866,0.176,0.689,0.143,1,0.832,0.5459999999999999,c1ccncc1
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(-c2cccs2)n1,True,True,0.595,-0.088,0.683,0.098,2,0.781,0.5850000000000001,c1ccc(-c2cccs2)nc1
CCCCCCCCCCP(=S)(S)C1CCCCC1,True,True,1.304,0.631,0.673,0.133,2,0.806,0.54,C1CCCCC1
CCCCCCCCN(CCCCCCCC)C(=S)c1nnc(-c2ccccn2)s1,True,True,0.671,-0.0,0.671,0.118,2,0.789,0.553,c1ccc(-c2nncs2)nc1
CCCCCCCCCCP(=S)(S)c1ccc(-c2nnc(-c3ccccc3)o2)cc1,True,True,0.871,0.2,0.671,0.23,1,0.901,0.44100000000000006,c1ccc(-c2nnc(-c3ccccc3)o2)cc1
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=S)N(CCCCCCCCCC)CCCCCCCCCC,True,True,0.749,0.083,0.666,0.14,1,0.806,0.526,
