rank,SMILES,Metal,Acid_conc_M,Temperature_K,Pred_LogD,lo90,hi90,UCB_logD,confidence_pred_err,predicted_zone
35,O=C(COCC(=O)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,Am(III),3.0,295.15,1.7479,-2.6587,6.1545,6.1545,1.6209,high (D>10)
36,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,Eu(III),4.0133,295.15,2.2108,-1.707,6.1286,6.1286,1.4411,high (D>10)
37,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,Am(III),1.0,298.15,0.1991,-5.6966,6.0949,6.0949,2.1687,medium (0.5<=D<=10)
38,CCCCNC(=O)C(CC)C(=O)Nc1ccc(NC(=O)C(CC)C(=O)NCCCC)cc1,Eu(III),0.0113,295.15,0.0803,-5.924,6.0846,6.0846,2.2086,medium (0.5<=D<=10)
39,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,Th(IV),4.0133,295.15,1.114,-3.8452,6.0731,6.0731,1.8242,high (D>10)
40,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Am(III),1.0,298.15,1.2668,-3.5327,6.0663,6.0663,1.7654,high (D>10)
41,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,Am(III),1.0,298.15,1.2668,-3.5327,6.0663,6.0663,1.7654,high (D>10)
42,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,La(III),12.1,298.15,1.2947,-3.3469,5.9364,5.9364,1.7074,high (D>10)
43,CCCCCCN1C(=O)c2nc3c(ccc4cc5c(nc43)C(=O)N(CCCCCC)[C@@H]3[C@@H]4CCC(C4)[C@H]53)cc2[C@H]2[C@H]3CC[C@H](C3)[C@H]21,Tb(III),5.3,295.15,1.0345,-3.8597,5.9287,5.9287,1.8003,high (D>10)
44,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,Dy(III),0.957731629,295.15,1.7922,-2.2751,5.8595,5.8595,1.4961,high (D>10)
45,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,Am(III),1.0,298.15,1.1565,-3.4329,5.746,5.746,1.6882,high (D>10)
46,CCCCCCCCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,Yb(III),3.0,295.15,-0.5257,-6.7827,5.7312,5.7312,2.3015,low (D<0.5)
47,CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,Er(III),2.4,298.15,-0.0417,-5.7612,5.6777,5.6777,2.1038,medium (0.5<=D<=10)
48,CCN(CC)C(=O)COCC(=O)N(CC)CC,La(III),5.0,298.15,4.1171,2.5645,5.6697,5.6697,0.5711,high (D>10)
49,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,Cm(III),1.0,298.15,2.7302,-0.1869,5.6473,5.6473,1.073,high (D>10)
50,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,Yb(III),3.0,295.15,0.7276,-4.1544,5.6096,5.6096,1.7958,medium (0.5<=D<=10)
51,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,Am(III),1.0,298.15,0.2474,-5.0712,5.5659,5.5659,1.9564,medium (0.5<=D<=10)
52,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,Pu(IV),1.0,293.1656986,2.6462,-0.181,5.4735,5.4735,1.04,high (D>10)
53,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,Eu(III),4.3,295.15,0.7389,-3.9643,5.4421,5.4421,1.73,medium (0.5<=D<=10)
54,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,Ce(III),4.0,296.15,2.6099,-0.1984,5.4182,5.4182,1.033,high (D>10)
55,CCCCCCOP(=O)(CCC(=O)N(CC)CC)OCCCCCC,Am(III),0.5,298.15,-0.1454,-5.649,5.3582,5.3582,2.0244,medium (0.5<=D<=10)
56,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,Am(III),1.0,298.15,1.7763,-1.7825,5.3351,5.3351,1.3091,high (D>10)
57,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,Eu(III),4.3,295.15,1.6972,-1.9193,5.3137,5.3137,1.3303,high (D>10)
58,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,U(VI),4.0,296.15,1.2419,-2.735,5.2189,5.2189,1.4629,high (D>10)
59,CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,Eu(III),4.0,298.15,1.6757,-1.8457,5.1971,5.1971,1.2953,high (D>10)
60,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Th(IV),3.264074345,298.15,0.2911,-4.6026,5.1847,5.1847,1.8001,medium (0.5<=D<=10)
61,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,Am(III),3.0,295.15,1.1558,-2.8483,5.1599,5.1599,1.4729,high (D>10)
62,CCCCCCCCN(C)C(=O)CC(=O)NCc1cccc(CNC(=O)CC(=O)N(C)CCCCCCCC)c1,Am(III),0.056234133,298.15,1.1915,-2.7395,5.1225,5.1225,1.446,high (D>10)
63,CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,Am(III),1.0,298.15,0.8153,-3.4837,5.1143,5.1143,1.5813,medium (0.5<=D<=10)
64,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,U(VI),1.0,298.15,1.3086,-2.4586,5.0759,5.0759,1.3857,high (D>10)
65,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,U(VI),4.3,295.15,1.3846,-2.2383,5.0076,5.0076,1.3327,high (D>10)
66,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,Nd(III),0.085889571,298.15,3.053,1.1703,4.9358,4.9358,0.6926,high (D>10)
67,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,Eu(III),3.0,298.15,0.7954,-3.3123,4.9031,4.9031,1.511,medium (0.5<=D<=10)
68,CCCCCCP(=O)(CCCCCC)CC(=O)CC(C)C,Am(III),3.001390821,295.15,1.733,-1.4347,4.9008,4.9008,1.1652,high (D>10)
69,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,Eu(III),3.0,295.15,0.4895,-3.9098,4.8889,4.8889,1.6182,medium (0.5<=D<=10)
70,CCCCCCP(=O)(CCCCCC)CC(=O)N(CCCC)CCCC,Ce(III),2.0,298.15,1.0549,-2.779,4.8888,4.8888,1.4103,high (D>10)
71,CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,Eu(III),5.0,298.15,0.9814,-2.9209,4.8837,4.8837,1.4354,medium (0.5<=D<=10)
72,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,Dy(III),0.5,298.15,1.4433,-1.944,4.8305,4.8305,1.2459,high (D>10)
73,CCCCCCN(CCCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCC)CCCC(C)CC(C)(C)C,Dy(III),0.5,298.15,1.4433,-1.944,4.8305,4.8305,1.2459,high (D>10)
74,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,Ho(III),1.0,293.15,-1.3429,-7.4943,4.8084,4.8084,2.2627,low (D<0.5)
75,CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,Am(III),1.0,298.15,0.3385,-4.1269,4.804,4.804,1.6426,medium (0.5<=D<=10)
76,CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,Am(III),1.0,298.15,1.1368,-2.5068,4.7804,4.7804,1.3403,high (D>10)
77,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,Eu(III),0.1,298.15,0.0072,-4.7555,4.7699,4.7699,1.7519,medium (0.5<=D<=10)
78,CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,Nd(III),0.012269939,298.15,2.6066,0.4465,4.7667,4.7667,0.7946,high (D>10)
79,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,U(VI),3.0,298.15,1.6309,-1.4743,4.7361,4.7361,1.1422,high (D>10)
80,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,La(III),4.0,298.15,4.5904,4.4545,4.7263,4.7263,0.05,high (D>10)
81,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,Eu(III),3.0,298.15,0.9572,-2.8014,4.7158,4.7158,1.3825,medium (0.5<=D<=10)
82,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,Sm(III),3.0,298.15,1.3526,-2.0042,4.7094,4.7094,1.2348,high (D>10)
83,CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,Am(III),3.0,295.15,0.9488,-2.7986,4.6962,4.6962,1.3784,medium (0.5<=D<=10)
84,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,Am(III),4.997101449,298.15,2.9066,1.1222,4.6909,4.6909,0.6564,high (D>10)
85,CCOP(=S)(COCP(=S)(OCC)OCC)OCC,Am(III),1.0,294.15,0.6745,-3.3359,4.6848,4.6848,1.4752,medium (0.5<=D<=10)
86,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,Am(III),1.0,294.15,0.6745,-3.3359,4.6848,4.6848,1.4752,medium (0.5<=D<=10)
87,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,Yb(III),3.0,295.15,-0.3174,-5.3086,4.6737,4.6737,1.8359,low (D<0.5)
88,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],Yb(III),3.0,295.15,-0.3174,-5.3086,4.6737,4.6737,1.8359,low (D<0.5)
89,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,Am(III),1.0,298.15,0.8408,-2.9649,4.6464,4.6464,1.3999,medium (0.5<=D<=10)
90,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,Ho(III),0.5,298.15,1.0506,-2.5432,4.6443,4.6443,1.3219,high (D>10)
91,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1cc(C)cc(C)c1,Sm(III),0.5,298.15,0.1927,-4.2585,4.644,4.644,1.6373,medium (0.5<=D<=10)
92,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,La(III),3.0,298.15,4.5055,4.3696,4.6414,4.6414,0.05,high (D>10)
93,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,Am(III),1.0,298.15,0.273,-4.0864,4.6324,4.6324,1.6035,medium (0.5<=D<=10)
94,CC(C)c1nnc(-c2cccc(-c3nnc(C(C)C)c(C(C)C)n3)n2)nc1C(C)C,Am(III),6.7,295.15,1.1398,-2.3338,4.6135,4.6135,1.2777,high (D>10)
95,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,U(VI),4.0,298.15,1.1532,-2.2892,4.5956,4.5956,1.2662,high (D>10)
96,CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,Eu(III),4.013,295.15,1.3202,-1.9099,4.5503,4.5503,1.1881,high (D>10)
97,CCCCCNC(=O)CC(=O)NCc1cccc(CNC(=O)CC(=O)NCCCCC)c1,Am(III),0.03801894,298.15,0.6599,-3.2295,4.5494,4.5494,1.4307,medium (0.5<=D<=10)
98,CCCCCCCCNC(=O)C(CC)C(=O)NCc1cccc(CNC(=O)C(CC)C(=O)NCCCCCCCC)c1,Am(III),0.03801894,298.15,0.6599,-3.2295,4.5494,4.5494,1.4307,medium (0.5<=D<=10)
99,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,Ce(III),3.0,298.15,2.2438,-0.0536,4.5412,4.5412,0.8451,high (D>10)
100,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,Er(III),2.4,298.15,-1.2169,-6.9683,4.5346,4.5346,2.1156,low (D<0.5)
101,CCN(CC)C(=O)COc1c2cc(OC)cc1Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)C2,Eu(III),3.0,295.15,-0.852,-6.224,4.52,4.52,1.976,low (D<0.5)
102,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,Nd(III),0.09815951,298.15,1.4578,-1.579,4.4945,4.4945,1.117,high (D>10)
103,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,Lu(III),0.3,293.15,0.6423,-3.2084,4.493,4.493,1.4164,medium (0.5<=D<=10)
104,CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,Eu(III),3.0,298.15,1.3464,-1.7798,4.4726,4.4726,1.1499,high (D>10)
105,CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,Ho(III),3.0,298.15,0.1297,-4.2003,4.4596,4.4596,1.5927,medium (0.5<=D<=10)
106,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,Yb(III),3.0,298.15,1.0193,-2.4114,4.45,4.45,1.2619,high (D>10)
107,CCCCOP(=O)(OCCCC)c1ccc2ccc3ccc(P(=O)(OCCCC)OCCCC)nc3c2n1,Lu(III),6.7,295.15,2.3943,0.3885,4.4001,4.4001,0.7378,high (D>10)
108,CCCCCCOCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,Nd(III),1.0,298.15,2.2231,0.0519,4.3943,4.3943,0.7987,high (D>10)
109,CCCCN(CCCC)C(=O)c1ccc2ccc3cccnc3c2n1,Am(III),1.0,298.15,0.1051,-4.1834,4.3935,4.3935,1.5775,medium (0.5<=D<=10)
110,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,Er(III),3.0,298.15,0.0565,-4.2792,4.3922,4.3922,1.5948,medium (0.5<=D<=10)
111,CC(C)CN(CC(C)C)C(=O)CP(=O)(CC(C)CC(C)(C)C)c1ccccc1,La(III),0.06,295.15,2.0676,-0.2219,4.3572,4.3572,0.8422,high (D>10)
112,CCCCCOP(=O)(CP(=O)(OCCCCC)OCCCCC)OCCCCC,Ce(III),2.0,298.15,0.4724,-3.3573,4.302,4.302,1.4087,medium (0.5<=D<=10)
113,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,Eu(III),4.0,298.15,2.0263,-0.233,4.2857,4.2857,0.8311,high (D>10)
114,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,Am(III),1.0,298.15,1.6181,-1.0326,4.2687,4.2687,0.975,high (D>10)
115,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,Sm(III),3.0,298.15,0.6525,-2.9233,4.2284,4.2284,1.3153,medium (0.5<=D<=10)
116,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,Er(III),2.4,298.15,-1.5414,-7.2999,4.217,4.217,2.1182,low (D<0.5)
117,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,Tm(III),2.0,295.15,0.8184,-2.5631,4.2,4.2,1.2438,medium (0.5<=D<=10)
118,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,Tm(III),2.0,295.15,0.8184,-2.5631,4.2,4.2,1.2438,medium (0.5<=D<=10)
119,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,Tb(III),7.4,295.15,0.6502,-2.897,4.1974,4.1974,1.3048,medium (0.5<=D<=10)
120,CCC(CC)CP(=O)(CC(=O)N(CC)CC)CC(CC)CC,Am(III),1.999284692,295.15,2.1284,0.0609,4.1959,4.1959,0.7605,high (D>10)
