framing,n,R2_all,RMSE_all_kJmol,R2_top25,R2_top10,RMSE_top10_kJmol
per-row (framing 1),7066,0.27,7.62,0.48,0.515,5.22
per-pair (framing 3),2273,0.424,6.6,0.678,0.814,3.24
