feature,cohens_d,picks_mean,rest_mean
Dipole_moment_D,-0.5382883460382576,1.882419603524229,2.1266302913688846
fr_aryl_methyl,-0.2746683609463921,0.14537444933920704,0.38537658053875756
SlogP_VSA4,-0.2535960756294431,3.1562184779251097,5.157594472749863
PEOE_VSA12,0.2259944054290603,10.001468794693833,8.335690474826277
fr_pyridine,-0.22386998196957705,0.27973568281938327,0.4474986256184717
VSA_EState4,-0.2153381997312547,0.9582106035837005,1.4496160395898845
NumAromaticRings,-0.2142015425552802,0.8105726872246696,1.1577789994502474
SMR_VSA7,-0.21327267472342493,18.060986147687228,25.62069866020341
VSA_EState6,-0.21002997460125392,4.171630149174009,6.0342124549202865
fr_bicyclic,-0.20358280605795673,0.3039647577092511,0.6701484332050577
fr_benzene,-0.2000144253610768,0.3766519823788546,0.5689939527212754
NumAromaticCarbocycles,-0.2000144253610768,0.3766519823788546,0.5689939527212754
EState_VSA7,-0.19961011114707164,19.293845656158588,24.39423296535734
SlogP_VSA6,-0.19712438323571993,14.024414744669603,19.63123558771853
EState_VSA2,0.19665957537002468,23.72378945420705,20.43348253698021
RingCount,-0.19593837730146507,0.9977973568281938,1.3732820230896097
Phi,0.19485217132417032,21.970605426295155,19.477030685542054
SMR_VSA6,0.1944622755340283,36.38538050113656,32.34960102461078
Kappa3,0.19314730989580955,18.12993449381718,15.96978129166795
VSA_EState7,0.19180868685099603,18.73754248231938,16.142135808437597
FractionCSP3,0.1911777917862926,0.7915840279889866,0.741402291319956
fr_unbrch_alkane,0.18932611443279573,11.409691629955947,9.548653106102254
NumRotatableBonds,0.18723792489118254,23.33259911894273,20.682242990654206
EState_VSA3,-0.18581043295742444,11.540393618552864,15.255865428406263
Kappa2,0.18266125497652064,23.500541218337005,21.169607825575042
SlogP_VSA3,0.17934251479996063,15.585971948323792,13.595820517111601
PEOE_VSA7,-0.17872050969681946,34.19817977612995,38.167068486296316
EState_VSA5,0.1784055088085279,71.08724465130837,59.98670277081748
SlogP_VSA2,0.1765148735363777,58.52400634528634,53.66062611542715
SlogP_VSA10,-0.17562718113139902,1.1274554289647574,1.7994810044678398
fr_aniline,-0.17358886245752517,0.19823788546255505,0.31500824628916985
PEOE_VSA13,-0.17074419371078056,2.0542699816035244,2.921013305604728
SMR_VSA5,0.16639463361569948,130.18684598031498,117.42885690510667
fr_ether,0.1632935664207852,0.933920704845815,0.7405167674546455
SMR_VSA4,-0.1629394051435041,2.4622560487400884,3.5968986764332054
SlogP_VSA8,-0.16021099629120703,3.3489484744713653,5.096878256783947
BCUT2D_MRLOW,-0.15988362001452072,-0.06426316099339208,-0.0306383131253436
SlogP_VSA5,0.15463376565509288,131.53653360159254,119.8901493218796
PEOE_VSA3,-0.15460162539441366,1.9273154807577093,2.7079520671253436
SMR_VSA10,-0.1474144722992426,15.588466580319384,17.321336487033534
PEOE_VSA6,0.14464040094623468,111.15012266278855,101.91310869243871
NumAromaticHeterocycles,-0.1436229231998505,0.43392070484581496,0.5887850467289719
PEOE_VSA14,-0.1420820356474221,0.2174162924757709,0.5141655532435404
EState_VSA6,-0.14101279259304478,4.673556801447136,6.055081739540957
NumBridgeheadAtoms,-0.1405211790283038,0.030837004405286344,0.15173172072567345
fr_morpholine,0.13834113514101368,0.011013215859030838,0.0005497526113249038
HallKierAlpha,0.13830187644107114,-1.6851982378854626,-1.8776305662451895
NumAtomStereoCenters,-0.13698010434637087,0.4052863436123348,0.560197910940077
fr_C_O_noCOO,0.13288671801684296,1.9405286343612336,1.7768004398020891
fr_COO,-0.12935467612227558,0.0022026431718061676,0.032985156679494226
fr_COO2,-0.12935467612227558,0.0022026431718061676,0.032985156679494226
MinAbsPartialCharge,-0.12923697407336082,0.24137415788766522,0.2457543049142386
NumHeterocycles,-0.12777062569364286,0.5352422907488987,0.6877405167674546
BertzCT,-0.12745297742203796,660.1734016593392,720.333760146707
Kappa1,0.12648641432162624,34.13514419657049,32.26628038327267
fr_Al_COO,-0.12326678836333159,0.0022026431718061676,0.031335898845519516
NumAmideBonds,0.12282864296557033,1.922907488986784,1.7702034084661902
fr_amide,0.12282864296557033,1.922907488986784,1.7702034084661902
MinPartialCharge,-0.11954734338791229,-0.3531970710264318,-0.34751070505057724
NumSaturatedCarbocycles,-0.11914611093489416,0.02643171806167401,0.06816932380428807
PEOE_VSA1,0.11887821245245699,14.550345199878857,13.374676616272678
PEOE_VSA10,0.1182766784297048,12.479824551830397,11.397415419586036
SMR_VSA1,0.11620390634797134,14.551265687429517,13.427818351285874
BalabanJ,0.11333200872976085,3.6210345650286344,3.466550260828477
AvgIpc,-0.11270681550498107,2.7995194399845817,2.8414929661143487
MaxAbsPartialCharge,0.11147849712780325,0.35614294707488986,0.3506648178867509
SlogP_VSA12,-0.10830511213049669,1.276322501920705,1.8582782369395274
fr_C_O,0.10806668505714923,1.9427312775330396,1.8097855964815832
EState_VSA11,-0.1063571124434976,0.02112130918061674,0.18952594801209455
PEOE_VSA2,0.10441772395668854,10.00837416217401,9.400636514046731
Chi1v,0.1043919315603401,15.83952956293392,15.14476180373172
MaxPartialCharge,-0.10387020225725405,0.24432003393612337,0.2489084177504123
Chi1n,0.10334091279750121,15.566338200669602,14.868680392432655
VSA_EState9,0.10118460013642454,0.40233192826872255,0.2245476277894447
BCUT2D_CHGHI,-0.09930326620093093,2.199820876511013,2.2082082907416165
NumValenceElectrons,0.09835386082268692,216.92070484581498,208.1473336998351
BCUT2D_LOGPHI,-0.09815177420241328,2.186165552061674,2.200378526
NumUnspecifiedAtomStereoCenters,-0.09544122821223133,0.3744493392070485,0.47058823529411764
EState_VSA10,0.09483741094625964,9.73200994880617,9.20379157349313
Chi0n,0.0940153033251431,25.06253385694934,24.094764881218257
fr_Al_OH_noTert,-0.09399413729852331,0.0,0.0043980208905992305
fr_Al_OH,-0.09399413729852331,0.0,0.0043980208905992305
fr_C_S,-0.09350410342080713,0.00881057268722467,0.034084661902144035
fr_ketone,0.09327582169623973,0.01762114537444934,0.005497526113249038
Chi0v,0.09268604362875503,25.21765561181498,24.270611007721275
fr_NH1,0.09112059923364658,0.2753303964757709,0.19406267179769104
Chi2v,0.08858047475746775,11.357987721594716,10.939457086952173
MinAbsEStateIndex,-0.08807109780565024,0.1016520066740088,0.11580376710280374
SlogP_VSA7,-0.08774656081919227,0.07744148282819384,0.17395596418031886
fr_halogen,-0.08774656081719787,0.015418502202643172,0.034634414513468936
Chi2n,0.0850852319441332,10.95619753674009,10.554031798621219
fr_Ar_N,-0.08414630150942067,0.6740088105726872,0.8339747113798791
BCUT2D_MRHI,-0.08229469782481733,6.021735876696035,6.071945059809787
ExactMolWt,0.08044723412370994,529.9231605654186,512.7723365380979
MolWt,0.08039893742869975,530.317486784141,513.1645365585485
PEOE_VSA9,-0.07899280735615952,5.9677903104603525,6.833064747692138
LabuteASA,0.07864628055496332,231.61806937407493,224.23151725968663
EState_VSA4,0.07815767911105938,51.470665945118945,49.307458319364486
Chi0,0.07632415854784277,27.640088456850226,26.795640121236946
