regime,gap_balanced_dir_advantage,per_bin_dir_advantage,bootstrap_top10_minus_all_dir,bootstrap_CI95_low,bootstrap_CI95_high,bootstrap_p,normRMSE_conf_top10,normRMSE_random_top10,confidence_beats_random
known extractant,0.116,-0.012;0.202;0.235;0.039,0.067,0.029,0.103,0.0002,0.64,0.799,True
new extractant,0.047,-0.022;0.070;0.028;0.110,-0.069,-0.114,-0.019,0.9962,1.002,0.9,False
